,Entity,Code,Year,Population (historical estimates),Country_Name,Country_Code,African_Region
0,United States,USA,1980,223140016,United States of America,USA,
1,United States,USA,1981,225654000,United States of America,USA,
2,United States,USA,1982,228001424,United States of America,USA,
3,United States,USA,1983,230389968,United States of America,USA,
4,United States,USA,1984,232766288,United States of America,USA,
5,United States,USA,1985,235146176,United States of America,USA,
6,United States,USA,1986,237512784,United States of America,USA,
7,United States,USA,1987,239853168,United States of America,USA,
8,United States,USA,1988,242287808,United States of America,USA,
9,United States,USA,1989,244954096,United States of America,USA,
10,United States,USA,1990,248083728,United States of America,USA,
11,United States,USA,1991,251560192,United States of America,USA,
12,United States,USA,1992,255175328,United States of America,USA,
13,United States,USA,1993,258779760,United States of America,USA,
14,United States,USA,1994,262273584,United States of America,USA,
15,United States,USA,1995,265660560,United States of America,USA,
16,United States,USA,1996,268984352,United States of America,USA,
17,United States,USA,1997,272395424,United States of America,USA,
18,United States,USA,1998,275835008,United States of America,USA,
19,United States,USA,1999,279181568,United States of America,USA,
20,United States,USA,2000,282398560,United States of America,USA,
21,United States,USA,2001,285470496,United States of America,USA,
22,United States,USA,2002,288350240,United States of America,USA,
23,United States,USA,2003,291109824,United States of America,USA,
24,United States,USA,2004,293947872,United States of America,USA,
25,United States,USA,2005,296842656,United States of America,USA,
26,United States,USA,2006,299753088,United States of America,USA,
27,United States,USA,2007,302743392,United States of America,USA,
28,United States,USA,2008,305694912,United States of America,USA,
29,United States,USA,2009,308512032,United States of America,USA,
30,United States,USA,2010,311182848,United States of America,USA,
31,United States,USA,2011,313876608,United States of America,USA,
32,United States,USA,2012,316651328,United States of America,USA,
33,United States,USA,2013,319375168,United States of America,USA,
34,United States,USA,2014,322033952,United States of America,USA,
35,United States,USA,2015,324607776,United States of America,USA,
36,United States,USA,2016,327210208,United States of America,USA,
37,United States,USA,2017,329791232,United States of America,USA,
38,United States,USA,2018,332140032,United States of America,USA,
39,United States,USA,2019,334319680,United States of America,USA,
40,United States,USA,2020,335942016,United States of America,USA,
41,United States,USA,2021,336997632,United States of America,USA,
